node_id,name,bus,groups,group,group_labels,station_nc,jurisdiction,v_nom_kv,latitude,longitude,membership_count,source
71,Tawnaghmore,5241,"(3, 4, 8, 9, 13, 14, 15, 40)",3,IE-NW-3|IE-NW-4|IE-W-1|IE-W-2|IE-W-6|IE-W-7|IE-W-8|IE-ALL,TAWNAGHMORE,IE,110.0,54.1918026,-9.2178772,8,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
72,Thurles,5301,"(8, 9, 16, 29, 31, 40)",8,IE-W-1|IE-W-2|IE-W-9|IE-SW-11|IE-SE-2|IE-ALL,THURLES,IE,110.0,52.6919962,-7.7642805,6,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
73,Tobertoreen,11310,"(9, 17, 25, 40)",9,IE-W-2|IE-SW-1|IE-SW-7|IE-ALL,TOBERTOREEN,IE,110.0,52.43755,-9.3004089,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
74,Tralee,5281,"(9, 17, 40)",9,IE-W-2|IE-SW-1|IE-ALL,TRALEE,IE,110.0,52.2890467,-9.6740021,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
75,Trien,5261,"(9, 17, 25, 27, 28, 40)",9,IE-W-2|IE-SW-1|IE-SW-7|IE-SW-9|IE-SW-10|IE-ALL,TRIEN,IE,110.0,52.4245772,-9.426115,6,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
76,Trillick,5361,"(1, 3, 4, 5, 6, 9, 40)",1,IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,TRILLICK,IE,110.0,55.1127756,-7.4186417,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
77,Tullabrack,5221,"(8, 9, 17, 40)",8,IE-W-1|IE-W-2|IE-SW-1|IE-ALL,TULLABRACK,IE,110.0,52.6730693,-9.4791123,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
78,Uggool,2111,"(8, 9, 10, 40)",8,IE-W-1|IE-W-2|IE-W-3|IE-ALL,UGGOOL,IE,110.0,53.3536722,-9.3355257,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
79,Waterford,5441,"(30, 40)",30,IE-SE-1|IE-ALL,WATERFORD,IE,110.0,52.2633036,-7.1249367,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
80,Wexford,5501,"(30, 40)",30,IE-SE-1|IE-ALL,WEXFORD,IE,110.0,52.3403641,-6.5394499,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
81,Woodhouse,6931,"(31, 40)",31,IE-SE-2|IE-ALL,WOODHOUSE,IE,110.0,52.0822332,-7.7706666,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
82,Aghyoule,70010,"(37, 38, 41)",37,NI-2|NI-3|NI-4,AGHYOULE,NI,110.0,54.1627134,-7.5851248,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
83,Brockaghboy,73500,"(36, 39, 41)",36,NI-1|NI-5|NI-4,BROCK1,NI,110.0,54.9371278,-6.7382085,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
84,Coleraine,75010,"(36, 39, 41)",36,NI-1|NI-5|NI-4,COLE1,NI,110.0,55.1094142,-6.6873926,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
85,Coolkeeragh,75510,"(36, 41)",36,NI-1|NI-4,COOL1,NI,110.0,55.0424072,-7.2472407,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
86,Drumquin,77210,"(37, 38, 41)",37,NI-2|NI-3|NI-4,DRUMQUIN,NI,110.0,54.575301,-7.4862623,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
87,Enniskillen,79017,"(37, 38, 41)",37,NI-2|NI-3|NI-4,ENNISKILLEN,NI,110.0,54.3671413,-7.6326094,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
88,Gort,80710,"(37, 41)",37,NI-2|NI-4,GORT,NI,110.0,54.4851717,-7.1171035,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
89,Killymallaght,81810,"(37, 41)",37,NI-2|NI-4,KILL1-CL,NI,110.0,54.9474449,-7.3389711,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
90,Limavady,83510,"(36, 39, 41)",36,NI-1|NI-5|NI-4,LIMA1,NI,110.0,55.0242354,-6.9158482,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
91,Lisaghmore,84411,"(36, 41)",36,NI-1|NI-4,LSMR1,NI,110.0,54.9806374,-7.3049906,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
92,Loguestown,84511,"(36, 39, 41)",36,NI-1|NI-5|NI-4,LOGE1,NI,110.0,55.1478388,-6.6561595,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
93,Magherakeel,85510,"(37, 41)",37,NI-2|NI-4,MAKL1-CL,NI,110.0,54.5779193,-7.2810517,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
94,Omagh,87510,"(37, 41)",37,NI-2|NI-4,OMAH1,NI,110.0,54.5779193,-7.2810517,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
95,Rasharkin,87900,"(36, 39, 41)",36,NI-1|NI-5|NI-4,RASHARK1,NI,110.0,54.9500765,-6.530321399999999,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
96,Slieve Kirk,89210,"(37, 41)",37,NI-2|NI-4,SKRK1,NI,110.0,54.9474449,-7.3389711,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
97,Strabane,89510,"(37, 41)",37,NI-2|NI-4,STRABANE,NI,110.0,54.8524826,-7.4307015,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
98,Tremoge,90210,"(37, 41)",37,NI-2|NI-4,TREM,NI,110.0,54.5449324,-6.9813654,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
