osm_type,osm_id,osm_name,osm_name_normalised,osm_lat,osm_lon,osm_voltage,osm_substation,osm_operator,osm_ref,osm_location,osm_url
node,12292561960,St Davids Church Hakin Substation,st davids church hakin substation,51.715092,-5.0557373,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561960
node,12292561967,Woodbine Way Substation,woodbine way substation,51.7144602,-5.0586298,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561967
node,12292561971,John Lewis St Substation,john lewis st substation,51.7134128,-5.056221,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561971
node,12292561990,Observatory Hall Housing Hakin Substation,observatory hall housing hakin substation,51.7135891,-5.0521513,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561990
node,12292562004,St Annes Road Substation,st annes road substation,51.7115291,-5.0460113,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562004
node,12292562005,Harbour Way Hakin Substation,harbour way hakin substation,51.7138137,-5.0478871,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562005
node,12292562051,Hakin Infants School Hakin Substation,hakin infants school hakin substation,51.7109113,-5.0536336,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562051
node,12292562066,Skye Quarry Substation,skye quarry substation,51.755768,-5.0849438,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562066
node,12292562239,Copper Coins St Ishmaels Substation,copper coins st ishmaels substation,51.7227031,-5.1382208,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562239
node,12292562242,Beaconing Fields Housing Substation,beaconing fields housing substation,51.7280419,-5.0114993,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562242
node,12292562257,Castle Pill Crescent Site Substation,castle pill crescent site substation,51.7288126,-5.0149858,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562257
node,12292562293,Milford Peninsular Substation,milford peninsular substation,51.7099652,-5.0382246,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562293
node,12292562294,Smoke House Quay Substation,smoke house quay substation,51.7111526,-5.0346458,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562294
node,12292562324,Milford Heritage Substation,milford heritage substation,51.7127523,-5.0398655,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562324
node,12292562326,Market Square Milford Substation,market square milford substation,51.7131035,-5.0381934,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562326
node,12292562330,Hamilton Terrace Milford Haven Substation,hamilton terrace milford haven substation,51.7122093,-5.0353175,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562330
node,12292562337,Charles Street Milford Haven Substation,charles street milford haven substation,51.7131993,-5.0340528,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562337
node,12292562345,Robert St Milford Substation,robert st milford substation,51.7133775,-5.0305652,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292562345
