name,psse_name,station,v_nom,search_name,candidate_rank,text_score,combined_score,voltage_match,review_status,osm_name,osm_lon,osm_lat,osm_voltage,osm_substation,osm_operator,osm_ref,osm_type,osm_id,osm_url,x,y,geocode_method,reason,search_name_normalised,osm_location
2481,FASS EAST,FASS EAST,110.0,FASS EAST,3,85.5,85.5,False,good name match - check voltage,Merrion Square East 38kV Substation,-6.246071,53.3388128,38000,distribution,ESB Networks,,way,444107084,https://www.openstreetmap.org/way/444107084,0.0,0.0,,"coordinates are (0, 0)",fass east,
2481,FASS EAST,FASS EAST,110.0,FASS EAST,4,85.5,85.5,False,good name match - check voltage,Lucan East 38kV Substation,-6.4388112,53.3608895,38000,distribution,ESB Networks,,way,449302266,https://www.openstreetmap.org/way/449302266,0.0,0.0,,"coordinates are (0, 0)",fass east,
2481,FASS EAST,FASS EAST,110.0,FASS EAST,5,85.5,85.5,False,good name match - check voltage,East Wall Road 38kV Substation,-6.2256499,53.3531881,38000,distribution,ESB Networks,,way,586374473,https://www.openstreetmap.org/way/586374473,0.0,0.0,,"coordinates are (0, 0)",fass east,
2491,FASS WEST,FASS WEST,110.0,FASS WEST,1,85.5,85.5,False,good name match - check voltage,Milford (Mid-West) 38 kV Substation,-8.8603319,52.339136,38000;20000;10000,distribution,ESB Networks,,way,435649480,https://www.openstreetmap.org/way/435649480,0.0,0.0,,"coordinates are (0, 0)",fass west,
2491,FASS WEST,FASS WEST,110.0,FASS WEST,2,85.5,85.5,False,good name match - check voltage,West Pill Angle Substation,-5.1074981,51.6892669,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,node,12292556166,https://www.openstreetmap.org/node/12292556166,0.0,0.0,,"coordinates are (0, 0)",fass west,
2491,FASS WEST,FASS WEST,110.0,FASS WEST,3,85.5,95.5,True,strong candidate,Grange Castle West 110kV Cable Compound,-6.4516328,53.3292044,110000,transition,EirGrid,,way,98820679,https://www.openstreetmap.org/way/98820679,0.0,0.0,,"coordinates are (0, 0)",fass west,
2491,FASS WEST,FASS WEST,110.0,FASS WEST,4,85.5,85.5,False,good name match - check voltage,Tara West 001188X,-6.2059961,53.3128255,10000,minor_distribution,ESB Networks,Tara West 001188X,way,893157943,https://www.openstreetmap.org/way/893157943,0.0,0.0,,"coordinates are (0, 0)",fass west,
2491,FASS WEST,FASS WEST,110.0,FASS WEST,5,85.5,85.5,False,good name match - check voltage,Carrickfergus West 33 kV Substation,-5.8453947,54.7128063,33000,distribution,NIE Networks,,way,395553863,https://www.openstreetmap.org/way/395553863,0.0,0.0,,"coordinates are (0, 0)",fass west,
2541,FRN ST A,FRN ST A,110.0,FRN ST A,1,85.5,85.5,False,good name match - check voltage,I.D.A BUSINESS PK 10KV SUB,-8.5785781,52.673623,10000;415,minor_distribution,ESB Networks,067108X,relation,19692263,https://www.openstreetmap.org/relation/19692263,0.0,0.0,,"coordinates are (0, 0)",frn st a,
2541,FRN ST A,FRN ST A,110.0,FRN ST A,2,85.5,85.5,False,good name match - check voltage,Strumble Head Lighthouse St.Nicholas Substation,-5.0713643,52.0292912,11000;400,distribution,National Grid Electricity Distribution Plc,,node,12181819064,https://www.openstreetmap.org/node/12181819064,0.0,0.0,,"coordinates are (0, 0)",frn st a,
2541,FRN ST A,FRN ST A,110.0,FRN ST A,3,85.5,85.5,False,good name match - check voltage,St Brides View Roch Substation,-5.08739,51.8470877,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,node,12244409195,https://www.openstreetmap.org/node/12244409195,0.0,0.0,,"coordinates are (0, 0)",frn st a,
2541,FRN ST A,FRN ST A,110.0,FRN ST A,4,85.5,85.5,False,good name match - check voltage,Pen Y Garn Housing St Davids Substation,-5.2642679,51.8796545,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,node,12245035226,https://www.openstreetmap.org/node/12245035226,0.0,0.0,,"coordinates are (0, 0)",frn st a,
2541,FRN ST A,FRN ST A,110.0,FRN ST A,5,85.5,85.5,False,good name match - check voltage,Goat St Substation,-5.2694207,51.8807859,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,node,12245035257,https://www.openstreetmap.org/node/12245035257,0.0,0.0,,"coordinates are (0, 0)",frn st a,
