name,psse_name,station,v_nom,x,y,geocode_method,reason,osm_found,osm_lon,osm_lat,osm_display_name,osm_type,osm_category,osm_id,osm_url,review_status
3611,LIBERTY ST,LIBERTY ST,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.4789238,51.8981917,"Liberty Street, The Marsh, Centre B ED, Cork, County Cork, Munster, T12 XH42, Éire / Ireland",tertiary,highway,32243374.0,https://www.openstreetmap.org/way/32243374,candidate
3631,FREAGH,FREAGH,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.7383827,53.1715312,"Freagh, Kilcormac ED, Birr, County Offaly, Leinster, Éire / Ireland",administrative,boundary,4170302.0,https://www.openstreetmap.org/relation/4170302,candidate
3691,LAGHTANVACK,LAGHTANVACK,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-9.5290959,54.1561559,"Laghtanvack, Kilfian South ED, Ballina Municipal District, County Mayo, Connacht, Éire / Ireland",administrative,boundary,6103368.0,https://www.openstreetmap.org/relation/6103368,candidate
3841,MAYNOOTH A,MAYNOOTH A,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.5922806,53.3830239,"Maynooth, County Kildare, Leinster, Éire / Ireland",town,place,1094726589.0,https://www.openstreetmap.org/way/1094726589,candidate
3842,MAYNOOTH A,MAYNOOTH A,220.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.5922806,53.3830239,"Maynooth, County Kildare, Leinster, Éire / Ireland",town,place,1094726589.0,https://www.openstreetmap.org/way/1094726589,candidate
3851,MAYNOOTH B,MAYNOOTH B,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.5922806,53.3830239,"Maynooth, County Kildare, Leinster, Éire / Ireland",town,place,1094726589.0,https://www.openstreetmap.org/way/1094726589,candidate
3852,MAYNOOTH B,MAYNOOTH B,220.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.5922806,53.3830239,"Maynooth, County Kildare, Leinster, Éire / Ireland",town,place,1094726589.0,https://www.openstreetmap.org/way/1094726589,candidate
3911,METRO AIRPOR,METRO AIRPOR,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
3921,METRO NORTH,METRO NORTH,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.2829269,53.3136179,"Tesco Metro, Terenure Road North, Terenure B Ward 1986, Dublin, County Dublin, Leinster, Éire / Ireland",supermarket,shop,228873475.0,https://www.openstreetmap.org/way/228873475,candidate
39420,W_SKERD ROCK,SKERD ROCK,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
39444,MPTSERIESCAP,MPTSERIESCAP,380.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
3981,MUNGRET A,MUNGRET A,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.6923876,52.6358249,"Mungret, Limerick, County Limerick, Munster, Éire / Ireland",village,place,52240173.0,https://www.openstreetmap.org/node/52240173,candidate
3991,MUNGRET B,MUNGRET B,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.6923876,52.6358249,"Mungret, Limerick, County Limerick, Munster, Éire / Ireland",village,place,52240173.0,https://www.openstreetmap.org/node/52240173,candidate
4012,MOORETOWN,MOORETOWN,220.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.2458449,53.4653595,"Mooretown, Swords-Glasmore ED, Fingal, County Dublin, Leinster, Éire / Ireland",administrative,boundary,5411507.0,https://www.openstreetmap.org/relation/5411507,candidate
4121,MULGEETH,MULGEETH,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.8469905,53.3679477,"Mulgeeth, Dunfierth ED, The Municipal District of Clane — Maynooth, County Kildare, Leinster, Éire / Ireland",administrative,boundary,4197897.0,https://www.openstreetmap.org/relation/4197897,candidate
4321,OAKLANDS,OAKLANDS,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.949164,52.3799003,"Oaklands, New Ross Rural ED, New Ross Municipal District, The Municipal District of New Ross, County Wexford, Leinster, Éire / Ireland",administrative,boundary,3233757.0,https://www.openstreetmap.org/relation/3233757,candidate
4341,OLDCOURT,OLDCOURT,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.3354885,53.2671979,"Oldcourt, Bohernabreena DED 1986, Tallaght, South Dublin, County Dublin, Leinster, Éire / Ireland",administrative,boundary,4552100.0,https://www.openstreetmap.org/relation/4552100,candidate
4351,OLDCOURT,OLDCOURT,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.3354885,53.2671979,"Oldcourt, Bohernabreena DED 1986, Tallaght, South Dublin, County Dublin, Leinster, Éire / Ireland",administrative,boundary,4552100.0,https://www.openstreetmap.org/relation/4552100,candidate
43619,OUTAGH T,OUTAGH,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
43844,OLDSERIESCAP,OLDSERIESCAP,380.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
4451,POLLAHONEY,POLLAHONEY,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.2053352,52.8051793,"Pollahoney, Arklow Rural ED, The Municipal District of Arklow, County Wicklow, Leinster, Éire / Ireland",administrative,boundary,4505679.0,https://www.openstreetmap.org/relation/4505679,candidate
4461,POOLBEG,POOLBEG,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.1899319,53.3383905,"Poolbeg 220kV AIS Substation, Pigeon House Road, Pembroke East A Ward 1986, Dublin, County Dublin, Leinster, Éire / Ireland",service,building,50257117.0,https://www.openstreetmap.org/way/50257117,candidate
4462,POOLBEG NORT,POOLBEG NORT,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
44661,PBEG REACTOR,PBEG REACTOR,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
44662,PBEG REACTOR,PBEG REACTOR,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
