run,demand_mw,renewable_potential_mw,pre_network_dispatch_down_mw,network_group_dispatch_down_mw,security_backstop_dispatch_down_mw,security_thermal_redispatch_mw,total_network_dispatch_down_mw,total_dispatch_down_mw,renewable_accepted_mw,first_group,activation_sequence,represented_security_pass,all_line_n1_pass,worst_base_loading_pct,worst_n1_loading_pct,worst_n1_monitored_line,worst_n1_outage,planned_outage,estimated_line_losses_mw,calibration_residual_mw,calibrated_total_dispatch_down_mw,calibrated_renewable_accepted_mw,physical_dispatch_down_pct_of_case,calibrated_dispatch_down_pct_of_case
51,1160.650072585477,461.0344120985207,0.0,0.0,0.0,0.0,0.0,0.0,461.0344120985207,,None,True,True,72.53916369730852,90.90198974820325,74011-74511-1,70510-78511-1,Intact,12.80648259047278,99.26707499952472,99.26707499952472,361.767337098996,0.0,21.5313808241958
52,1298.7915100548573,690.4360812588296,0.0,0.0,0.0,0.0,0.0,0.0,690.4360812588296,,None,True,False,82.5714193543639,105.11852502673487,81010-84011-1,84011-90011-1,Intact,24.45739084790139,177.1659713711956,177.1659713711956,513.270109887634,0.0,25.660010561467153
53,1061.67610876865,506.4271386131584,0.0,0.0,0.0,0.0,0.0,0.0,506.4271386131584,,None,True,True,71.8637398195152,71.86373981951523,86512-90012-2,75510-75511-1,Intact,11.926544861335527,137.71627278443083,137.71627278443083,368.71086582872755,0.0,27.193699208451655
54,1108.204026196162,277.5064492701064,0.0,0.0,0.0,0.0,0.0,0.0,277.5064492701064,,None,True,True,56.23748918693942,63.95950997376958,74011-78511-1,70520-86220-1,Intact,9.565918727614271,49.14902958991632,49.14902958991632,228.35741968019005,0.0,17.710950401040197
55,1225.0744137760007,537.23259611158,0.0,0.0,0.0,0.0,0.0,0.0,537.23259611158,,None,True,True,87.34554222195091,96.58849659020412,74011-74511-1,70510-78511-1,Intact,17.310810033545295,119.70960493268724,119.70960493268724,417.5229911788928,0.0,22.282639921540476
56,1015.096535163449,799.1936248022447,35.87443116165923,9.07634832136619,0.0,0.0,9.07634832136619,44.95077948302542,754.2428453192192,1.0,G1,True,True,68.56866594007005,99.99999449782581,75510-83510-1,81510-87900-1,Intact,24.23295539679563,268.04728361402687,312.9980630970523,486.1955617051924,5.624516773910477,39.164234221025175
57,1514.4258640040432,32.02441237311281,0.0,0.0,0.0,0.0,0.0,0.0,32.02441237311281,,None,True,False,99.73773304636964,149.79280584975007,74011-74511-1,70510-78511-1,Intact,17.889711321947722,2.9858272410230353,2.9858272410230353,29.038585132089775,0.0,9.323597280210794
58,1455.6336010293373,699.5917109800088,0.0,0.0,0.0,0.0,0.0,0.0,699.5917109800088,,None,True,True,90.28157484294815,99.25622250566292,74011-74511-1,70510-78511-1,Intact,24.185769656386245,162.16459045332965,162.16459045332965,537.4271205266791,0.0,23.179890199980314
59,1255.0839968958996,502.3779767203366,0.0,0.0,0.0,0.0,0.0,0.0,502.3779767203366,,None,True,True,76.49947060866559,99.2560092230171,74011-74511-1,70510-78511-1,Intact,11.541115755878245,113.95571103963694,113.95571103963694,388.4222656806997,0.0,22.683261671534957
60,1186.3617773668723,420.18891146057376,0.0,0.0,0.0,0.0,0.0,0.0,420.18891146057376,,None,True,True,59.904500575746496,74.67134356579153,74011-74511-1,70510-78511-1,Intact,9.496952554542581,102.81846329882104,102.81846329882104,317.37044816175273,0.0,24.46958034695032
61,1351.6733757716352,287.07014939376023,0.0,0.0,0.0,0.0,0.0,0.0,287.07014939376023,,None,True,False,86.04766269522617,101.00069771446383,81010-84011-1,84011-90011-1,Intact,13.62770014377196,48.53587464845603,48.53587464845603,238.5342747453042,0.0,16.90732204339425
62,1330.6020434866527,237.25263225291422,0.0,0.0,0.0,0.0,0.0,0.0,237.25263225291422,,None,True,True,93.36839801349595,93.36839801350149,74512-88012-2,90011-90012-1,Intact,14.37871793522841,35.00288563358884,35.00288563358884,202.24974661932538,0.0,14.75342351366426
63,1256.5807969969298,878.2399872386704,110.8112731456157,0.0,0.0,0.0,0.0,110.8112731456157,767.4287140930547,,None,True,False,108.14137566000277,108.1413756600028,90011-90511-1,70520-81020-2,Intact,25.774756355540987,286.0630075176338,396.8742806632495,481.3657065754209,12.617425163482295,45.189730191070765
64,1386.2858977425292,518.2946186322284,0.0,0.0,0.0,0.0,0.0,0.0,518.2946186322284,,None,True,False,104.7831262638,104.78312626380948,74512-88012-2,90011-90012-1,Intact,20.9756551862575,118.05940072356915,118.05940072356915,400.23521790865925,0.0,22.77843459674077
65,1053.282498928066,264.5677403013232,0.0,0.0,0.0,0.0,0.0,0.0,264.5677403013232,,None,True,False,61.524903706781686,120.96346720460458,74011-74511-1,70510-78511-1,Intact,7.5257089033562865,49.94831227544054,49.94831227544054,214.61942802588268,0.0,18.879214910537875
66,1346.486263969759,280.05274301590737,0.0,0.0,0.0,0.0,0.0,0.0,280.05274301590737,,None,True,False,91.8961593036362,157.98628236960965,74011-74511-1,70510-78511-1,Intact,14.617801270026336,41.88187997541737,41.88187997541737,238.17086304049,0.0,14.95499723530236
67,1111.2501606081883,803.4848713297001,0.0,39.08346732659135,0.0,0.0,39.08346732659135,39.08346732659135,764.4014040031088,3.0,G3,True,False,114.87523986760579,114.87523986766648,74511-82511-1,81010-81011-1,Intact,25.225443916576005,249.81172573231808,288.8951930589094,514.5896782707907,4.864244333799525,35.955274749705254
68,911.4012809129994,123.58504722424348,0.0,0.0,0.0,0.0,0.0,0.0,123.58504722424348,,None,True,True,86.79656527344534,86.79656527344645,90011-90511-1,70520-86220-1,Intact,6.358129445205582,19.45063819670334,19.45063819670334,104.13440902754014,0.0,15.738666314065009
69,1048.165855661178,153.66298259014377,0.0,0.0,0.0,0.0,0.0,0.0,153.66298259014377,,None,True,True,59.36713400648015,68.89450051950284,74011-74511-1,70510-78511-1,Intact,7.7442017496166695,23.293992806227468,23.293992806227468,130.3689897839163,0.0,15.159144000450757
