line,overload_pct_before_group_actions,worst_base_line_pct_of_runs,mean_initial_loading_pct,max_initial_loading_pct,thermal_limit_mw
74511-82512-2,0.0,0.0,7.251527900618984e-13,2.9476350598493802e-12,66.0
75510-75514-1,0.0,0.0,5.343326987321922e-13,1.101074152018691e-12,1418.0
74512-88511-1,0.0,0.0,1.958898590118102e-13,7.931132977786413e-13,144.0
75510-75611-1,0.0,0.0,4.152405369409502e-14,3.9789657938465753e-13,200.0
75510-89312-2,0.0,0.0,1.1269663323098077e-13,3.970306160155562e-13,82.0
75010-84512-2,0.0,0.0,4.935018460514897e-14,2.5743021595166714e-13,82.0
76514-80011-2,0.0,0.0,8.504858098171506e-14,2.2945579882737183e-13,69.0
74512-86311-1,0.0,0.0,1.265201510749056e-13,2.1793255401178472e-13,109.0
81810-89210-1,0.0,0.0,3.317712083373364e-14,1.9006675779506768e-13,109.0
73011-76511-1,0.0,0.0,4.029985791744615e-14,1.700668681374848e-13,75.0
74711-76011-1,0.0,0.0,3.616669869652082e-14,1.5604744039027886e-13,144.0
70312-81510-2,0.0,0.0,5.414460668741492e-14,1.1556914864235558e-13,82.0
90011-90512-2,0.0,0.0,2.031064505861584e-14,1.0560933648111572e-13,79.0
71512-90012-2,0.0,0.0,2.6961385871601127e-14,6.25463997920576e-14,82.0
72511-74512-1,0.0,0.0,2.8667324436112577e-14,6.003024146685826e-14,82.0
74512-88011-1,0.0,0.0,1.2306432642829658e-14,5.530575058637894e-14,82.0
75510-84411-1,0.0,0.0,9.071332487936017e-15,5.3838649364308365e-14,82.0
80512-81510-2,0.0,0.0,7.215722327024937e-15,2.933984603788286e-14,82.0
86511-90012-1,0.0,0.0,8.067548019013784e-15,2.7603944153572463e-14,82.0
75610-75611-1,0.0,0.0,8.68674376975886e-16,2.371900001326016e-15,200.0
