point_name,point_type,connection_level,max_export_capacity_mw,latitude,longitude,mapped_bus,mapped_bus_kv,mapping_distance_km,mapping_quality,market_bucket,semo_dispatch_join_candidate
Ballygarvey Road Solar Park,Solar farm,Distribution - 33 kV,6.0,54.88442,-6.252785,71011,110.0,4.240201404400734,medium,solar,Yes for applicable dispatchable units; unit-name mapping required
Bombardier Energy from Waste Plant,Energy from waste,Distribution - 33 kV,9.98,54.619311,-5.880371,82511,110.0,3.2023615980768336,medium,waste,Yes for applicable dispatchable units; unit-name mapping required
Pollnalaght (Cornavarrow) Wind Farm,Wind farm,Distribution - 33 kV,36.0,54.657951,-7.465262,77210,110.0,9.289209723991195,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Slieveglass Wind Farm,Wind farm,Distribution - 33 kV,6.9,54.648031,-7.573285,77210,110.0,9.83898903719272,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Castlecraig Wind Farm,Wind farm,Distribution - 33 kV,25.0,54.625717,-7.588645,77210,110.0,8.65549656141576,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Teiges Mountain Wind Farm,Wind farm,Distribution - 33 kV,11.0,54.303914,-7.338447,79010,110.0,20.32545327658277,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Evishagaran Wind Farm,Wind farm,Distribution - 33 kV,46.8,54.939608,-6.832506,73500,110.0,6.029734208237167,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Craiggore Wind Farm,Wind farm,Distribution - 33 kV,23.5,54.994741,-6.804186,73500,110.0,7.666669446589644,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Ballykeel Wind Farm,Wind farm,Distribution - 33 kV,16.1,54.854149,-5.912451,83011,110.0,3.723921435640741,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Kilroot Power Station GT6,Power station unit,Transmission - 275 kV,350.0,54.726932,-5.768195,82020,275.0,0.028236997238842567,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Kilroot Power Station GT7,Power station unit,Transmission - 275 kV,350.0,54.726932,-5.768195,82020,275.0,0.028236997238842567,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Moyle Interconnector - Ballycronan More Converter Station,HVDC interconnector,HVDC / 275 kV NI grid connection,500.0,54.84278,-5.76972,86220,275.0,0.0669909925039222,high,interconnector,Not a generator unit; use interconnector flow/trade data instead
