eval_index,temperature,current_dd,best_dd,candidate_dd,delta_dd,accepted,best_update,swap_i,swap_j
1035,0.03441050210634725,8.170984179772704,8.165985780556488,8.170984179772704,0.0,True,False,61,157
1036,0.034379255397566304,8.170984179772704,8.165985780556488,8.170984179772704,0.0,True,False,164,15
1037,0.03434803706258839,8.170984179772704,8.165985780556488,inf,inf,False,False,221,139
1038,0.0343168470756485,8.170090727778579,8.165985780556488,8.170090727778579,-0.0008934519941252717,True,False,193,5
1039,0.034285685411004976,8.17126484994042,8.165985780556488,8.17126484994042,0.0011741221618404296,True,False,5,203
1040,0.03425455204293955,8.17126484994042,8.165985780556488,inf,inf,False,False,124,145
1041,0.0342234469457573,8.17126484994042,8.165985780556488,8.17126484994042,0.0,True,False,54,106
1042,0.03419237009378666,8.17126484994042,8.165985780556488,8.17126484994042,0.0,True,False,91,17
1043,0.03416132146137934,8.171791095568684,8.165985780556488,8.171791095568684,0.0005262456282650874,True,False,150,214
1044,0.03413030102291037,8.171791095568684,8.165985780556488,8.171791095568684,0.0,True,False,80,131
1045,0.03409930875277803,8.17010279433652,8.165985780556488,8.17010279433652,-0.0016883012321642354,True,False,215,48
1046,0.03406834462540387,8.171796070124065,8.165985780556488,8.171796070124065,0.0016932757875451898,True,False,193,158
1047,0.034037408615232634,8.171796070124065,8.165985780556488,8.171796070124065,0.0,True,False,47,143
1048,0.0340065006967323,8.171828832599058,8.165985780556488,8.171828832599058,3.276247499250928e-05,True,False,209,118
1049,0.03397562084439402,8.193976107097775,8.165985780556488,8.193976107097775,0.02214727449871745,True,False,221,114
1050,0.03394476903273211,8.193976107097775,8.165985780556488,8.193976107097775,0.0,True,False,177,53
1051,0.03391394523628402,8.193976107097775,8.165985780556488,inf,inf,False,False,25,84
1052,0.033883149429610335,8.193976107097775,8.165985780556488,inf,inf,False,False,115,170
1053,0.03385238158729474,8.192606784995242,8.165985780556488,8.192606784995242,-0.0013693221025334879,True,False,86,4
1054,0.03382164168394399,8.192606784995242,8.165985780556488,8.192606784995242,0.0,True,False,78,105
1055,0.0337909296941879,8.192606784995242,8.165985780556488,8.192606784995242,0.0,True,False,59,146
1056,0.03376024559267933,8.192606784995242,8.165985780556488,8.192606784995242,0.0,True,False,125,194
1057,0.03372958935409415,8.192589511132686,8.165985780556488,8.192589511132686,-1.727386255545582e-05,True,False,11,24
1058,0.033698960953131234,8.192589511132686,8.165985780556488,inf,inf,False,False,207,114
1059,0.033668360364512415,8.192589511132686,8.165985780556488,8.192589511132686,0.0,True,False,149,144
1060,0.0336377875629825,8.192589511132686,8.165985780556488,inf,inf,False,False,42,10
1061,0.03360724252330921,8.192589511132686,8.165985780556488,8.192589511132686,0.0,True,False,207,53
1062,0.033576725220283196,8.192589511132686,8.165985780556488,8.192589511132686,0.0,True,False,38,99
1063,0.03354623562871798,8.192589511132686,8.165985780556488,inf,inf,False,False,33,197
1064,0.033515773723449986,8.192589511132686,8.165985780556488,8.192589511132686,0.0,True,False,136,222
1065,0.033485339479338454,8.192589511132686,8.165985780556488,8.192589511132686,0.0,True,False,146,223
1066,0.03345493287126546,8.188423585875414,8.165985780556488,8.188423585875414,-0.004165925257272107,True,False,72,221
1067,0.033424553874135926,8.197642777955533,8.165985780556488,8.197642777955533,0.009219192080118788,True,False,124,228
1068,0.033394202462877505,8.197873289067443,8.165985780556488,8.197873289067443,0.00023051111191030316,True,False,209,183
1069,0.03336387861244065,8.197873289067443,8.165985780556488,8.197873289067443,0.0,True,False,47,217
1070,0.03333358229779857,8.197873289067443,8.165985780556488,inf,inf,False,False,45,132
1071,0.03330331349394716,8.197873289067443,8.165985780556488,8.197873289067443,0.0,True,False,189,18
1072,0.03327307217590507,8.197873289067443,8.165985780556488,8.197873289067443,0.0,True,False,14,147
1073,0.0332428583187136,8.197873289067443,8.165985780556488,8.197873289067443,0.0,True,False,115,100
1074,0.0332126718974367,8.197873289067443,8.165985780556488,8.197873289067443,0.0,True,False,120,36
1075,0.03318251288716103,8.197873289067443,8.165985780556488,inf,inf,False,False,170,18
1076,0.03315238126299579,8.198927019553947,8.165985780556488,8.198927019553947,0.0010537304865039232,True,False,168,175
1077,0.03312227700007286,8.1997921898813,8.165985780556488,8.1997921898813,0.0008651703273532263,True,False,125,113
1078,0.033092200073546615,8.199282982509432,8.165985780556488,8.199282982509432,-0.0005092073718682144,True,False,130,74
1079,0.03306215045859408,8.199282982509432,8.165985780556488,8.199282982509432,0.0,True,False,222,232
1080,0.03303212813041477,8.199282982509432,8.165985780556488,8.199282982509432,0.0,True,False,5,88
1081,0.033002133064230714,8.199282982509432,8.165985780556488,8.199282982509432,0.0,True,False,90,52
1082,0.03297216523528648,8.199373315472698,8.165985780556488,8.199373315472698,9.033296326599327e-05,True,False,142,226
1083,0.032942224618849075,8.19790345391846,8.165985780556488,8.19790345391846,-0.0014698615542378946,True,False,23,51
1084,0.032912311190207995,8.19790345391846,8.165985780556488,8.19790345391846,0.0,True,False,227,206
1085,0.03288242492467516,8.19790345391846,8.165985780556488,8.19790345391846,0.0,True,False,47,204
1086,0.0328525657975849,8.19790345391846,8.165985780556488,8.19790345391846,0.0,True,False,141,148
1087,0.03282273378429397,8.19790345391846,8.165985780556488,8.19790345391846,0.0,True,False,22,166
1088,0.032792928860181474,8.19790345391846,8.165985780556488,8.19790345391846,0.0,True,False,130,36
1089,0.03276315100064888,8.19790345391846,8.165985780556488,inf,inf,False,False,205,81
1090,0.03273340018112001,8.198193345764802,8.165985780556488,8.198193345764802,0.0002898918463412059,True,False,74,17
1091,0.03270367637704098,8.198193345764802,8.165985780556488,8.198193345764802,0.0,True,False,181,180
1092,0.03267397956388023,8.198310979714655,8.165985780556488,8.198310979714655,0.0001176339498538681,True,False,122,80
1093,0.03264430971712844,8.198310979714655,8.165985780556488,inf,inf,False,False,175,124
1094,0.032614666812298576,8.198310979714655,8.165985780556488,8.198310979714655,0.0,True,False,76,202
1095,0.03258505082492581,8.198310979714655,8.165985780556488,inf,inf,False,False,192,228
1096,0.03255546173056758,8.198310979714655,8.165985780556488,inf,inf,False,False,45,27
1097,0.03252589950480346,8.198310979714655,8.165985780556488,8.198310979714655,0.0,True,False,84,212
1098,0.032496364123235234,8.198310979714655,8.165985780556488,inf,inf,False,False,67,33
1099,0.03246685556148684,8.198310979714655,8.165985780556488,8.198310979714655,0.0,True,False,64,36
1100,0.032437373795204325,8.198310979714655,8.165985780556488,8.198310979714655,0.0,True,False,31,11
1101,0.03240791880005589,8.198310979714655,8.165985780556488,inf,inf,False,False,109,33
1102,0.032378490551731795,8.198370545858529,8.165985780556488,8.198370545858529,5.956614387336856e-05,True,False,50,105
1103,0.03234908902594441,8.200353300966997,8.165985780556488,8.200353300966997,0.001982755108468126,True,False,130,125
1104,0.03231971419842812,8.200353300966997,8.165985780556488,8.200353300966997,0.0,True,False,102,7
1105,0.03229036604493937,8.20563354236056,8.165985780556488,8.20563354236056,0.005280241393563756,True,False,73,89
1106,0.03226104454125662,8.20563354236056,8.165985780556488,8.20563354236056,0.0,True,False,182,26
1107,0.032231749663180306,8.20563354236056,8.165985780556488,8.20563354236056,0.0,True,False,108,59
1108,0.03220248138653286,8.20563354236056,8.165985780556488,inf,inf,False,False,77,94
1109,0.03217323968715866,8.206482735947695,8.165985780556488,8.206482735947695,0.0008491935871344225,True,False,183,194
1110,0.03214402454092402,8.206482735947695,8.165985780556488,inf,inf,False,False,203,127
1111,0.03211483592371715,8.206482735947695,8.165985780556488,8.206482735947695,0.0,True,False,34,5
1112,0.032085673811448195,8.220429566112621,8.165985780556488,8.220429566112621,0.013946830164925927,True,False,181,82
1113,0.03205653818004914,8.220283140258456,8.165985780556488,8.220283140258456,-0.00014642585416524412,True,False,177,24
1114,0.03202742900547383,8.220283140258456,8.165985780556488,8.220283140258456,0.0,True,False,23,187
1115,0.03199834626369796,8.217345520292335,8.165985780556488,8.217345520292335,-0.0029376199661204083,True,False,77,5
1116,0.03196928993071904,8.21613725999447,8.165985780556488,8.21613725999447,-0.001208260297865138,True,False,59,183
1117,0.03194025998255636,8.21613725999447,8.165985780556488,8.21613725999447,0.0,True,False,216,68
1118,0.031911256395251,8.216277395148873,8.165985780556488,8.216277395148873,0.00014013515440325364,True,False,120,151
1119,0.03188227914486578,8.216277395148873,8.165985780556488,inf,inf,False,False,176,10
1120,0.031853328207485265,8.216277395148873,8.165985780556488,8.216277395148873,0.0,True,False,87,106
1121,0.03182440355921575,8.215812751084576,8.165985780556488,8.215812751084576,-0.0004646440642979144,True,False,128,35
1122,0.031795505176185214,8.215786104002218,8.165985780556488,8.215786104002218,-2.6647082357555973e-05,True,False,190,80
1123,0.03176663303454331,8.211521438728651,8.165985780556488,8.211521438728651,-0.004264665273566948,True,False,22,237
1124,0.031737787110461345,8.211521438728651,8.165985780556488,inf,inf,False,False,45,3
1125,0.031708967380132284,8.211521438728651,8.165985780556488,8.211521438728651,0.0,True,False,18,108
1126,0.031680173819770695,8.211521438728651,8.165985780556488,8.211521438728651,0.0,True,False,122,77
1127,0.03165140640561274,8.211521438728651,8.165985780556488,8.211521438728651,0.0,True,False,36,234
1128,0.031622665113916176,8.211048890761617,8.165985780556488,8.211048890761617,-0.0004725479670337762,True,False,4,31
1129,0.031593949920960304,8.211048890761617,8.165985780556488,8.211048890761617,0.0,True,False,49,12
1130,0.03156526080304597,8.211048890761617,8.165985780556488,8.211048890761617,0.0,True,False,236,63
1131,0.03153659773649555,8.211048890761617,8.165985780556488,8.211048890761617,0.0,True,False,11,21
1132,0.0315079606976529,8.211048890761617,8.165985780556488,8.211048890761617,0.0,True,False,2,223
1133,0.03147934966288339,8.211048890761617,8.165985780556488,8.211048890761617,0.0,True,False,236,233
1134,0.0314507646085738,8.210140522418586,8.165985780556488,8.210140522418586,-0.0009083683430315403,True,False,211,121
1135,0.03142220551113241,8.209929291823343,8.165985780556488,8.209929291823343,-0.00021123059524263965,True,False,174,206
1136,0.03139367234698888,8.209929291823343,8.165985780556488,8.209929291823343,0.0,True,False,39,107
1137,0.031365165092594294,8.209929291823343,8.165985780556488,8.209929291823343,0.0,True,False,99,205
1138,0.03133668372442112,8.209929291823343,8.165985780556488,8.22229861755569,0.012369325732347392,False,False,79,127
1139,0.03130822821896317,8.209929291823343,8.165985780556488,8.209929291823343,0.0,True,False,54,44
1140,0.031279798552735626,8.209929291823343,8.165985780556488,8.209929291823343,0.0,True,False,47,7
1141,0.03125139470227498,8.208858406591714,8.165985780556488,8.208858406591714,-0.0010708852316287931,True,False,135,48
1142,0.031223016644139043,8.208858406591714,8.165985780556488,8.208858406591714,0.0,True,False,171,163
1143,0.031194664354906903,8.239773720735897,8.165985780556488,8.239773720735897,0.030915314144182915,True,False,121,161
1144,0.03116633781117892,8.239773720735897,8.165985780556488,8.239773720735897,0.0,True,False,121,85
1145,0.031138036989576696,8.239773720735897,8.165985780556488,8.239773720735897,0.0,True,False,110,111
1146,0.031109761866743062,8.238121796467222,8.165985780556488,8.238121796467222,-0.001651924268674776,True,False,24,204
1147,0.031081512419342074,8.238121796467222,8.165985780556488,8.238121796467222,0.0,True,False,13,137
1148,0.031053288624058952,8.238121796467222,8.165985780556488,inf,inf,False,False,10,216
1149,0.031025090457600116,8.240230326192453,8.165985780556488,8.240230326192453,0.002108529725230568,True,False,103,82
1150,0.03099691789669312,8.240230326192453,8.165985780556488,8.240230326192453,0.0,True,False,135,118
1151,0.030968770918086655,8.240230326192453,8.165985780556488,inf,inf,False,False,228,57
1152,0.030940649498550524,8.240230326192453,8.165985780556488,inf,inf,False,False,162,179
1153,0.030912553614875625,8.237146267847814,8.165985780556488,8.237146267847814,-0.0030840583446387626,True,False,82,31
1154,0.03088448324387393,8.23693843417287,8.165985780556488,8.23693843417287,-0.00020783367494381366,True,False,71,193
1155,0.030856438362378474,8.23693843417287,8.165985780556488,8.23693843417287,0.0,True,False,217,224
1156,0.030828418947243325,8.23693843417287,8.165985780556488,inf,inf,False,False,36,170
1157,0.030800424975343566,8.23693843417287,8.165985780556488,8.23693843417287,0.0,True,False,99,171
1158,0.030772456423575272,8.23693843417287,8.165985780556488,inf,inf,False,False,117,81
1159,0.03074451326885552,8.23693843417287,8.165985780556488,8.23693843417287,0.0,True,False,126,39
1160,0.030716595488122323,8.23693843417287,8.165985780556488,inf,inf,False,False,198,127
1161,0.03068870305833465,8.23693843417287,8.165985780556488,8.23693843417287,0.0,True,False,187,42
1162,0.0306608359564724,8.23690816039228,8.165985780556488,8.23690816039228,-3.0273780589951116e-05,True,False,83,3
1163,0.030632994159536343,8.236635983100838,8.165985780556488,8.236635983100838,-0.0002721772914426879,True,False,17,222
1164,0.030605177644548176,8.236635983100838,8.165985780556488,8.236635983100838,0.0,True,False,145,63
1165,0.030577386388550423,8.236635983100838,8.165985780556488,inf,inf,False,False,226,25
